type,price,station,beds,baths,receptions,post_code,location
terraced,160000.0,0.9,3,1,1,WN3,wigan
flat,235000.0,1.5,2,2,1,M20,manchester
flat,240000.0,1.5,2,2,1,M20,manchester
detached,499950.0,1.0,5,2,2,BL1,bolton
detached,289950.0,1.7,4,2,1,WN6,wigan
flat,85000.0,0.6,1,1,1,BL6,lancashire
flat,140000.0,,2,1,1,BL9,manchester
flat,125000.0,,2,1,1,M6,manchester
semi-detached,499995.0,1.8,3,1,1,M21,manchester
terraced,150000.0,0.5,2,1,1,SK15,manchester
detached,400000.0,0.7,1,1,1,WN8,skelmersdale
semi-detached,230000.0,0.4,2,0,0,M34,manchester
semi-detached,140000.0,0.4,2,1,1,WN4,wigan
semi-detached,180000.0,0.6,3,1,2,BL4,bolton
semi-detached,165000.0,,3,1,1,BL4,bolton
semi-detached,525000.0,1.3,4,1,1,M28,manchester
terraced,300000.0,1.5,3,2,2,BL7,manchester
terraced,190000.0,,2,1,1,M45,manchester
flat,105000.0,0.8,2,1,0,M5,salford
terraced,160000.0,0.9,3,1,1,WN3,wigan
flat,235000.0,1.5,2,2,1,M20,manchester
flat,240000.0,1.5,2,2,1,M20,manchester
detached,499950.0,1.0,5,2,2,BL1,bolton
detached,289950.0,1.7,4,2,1,WN6,wigan
flat,85000.0,0.6,1,1,1,BL6,lancashire
flat,140000.0,,2,1,1,BL9,manchester
flat,125000.0,,2,1,1,M6,manchester
semi-detached,499995.0,1.8,3,1,1,M21,manchester
terraced,150000.0,0.5,2,1,1,SK15,manchester
detached,400000.0,0.7,1,1,1,WN8,skelmersdale
semi-detached,230000.0,0.4,2,0,0,M34,manchester
semi-detached,140000.0,0.4,2,1,1,WN4,wigan
semi-detached,180000.0,0.6,3,1,2,BL4,bolton
semi-detached,165000.0,,3,1,1,BL4,bolton
semi-detached,525000.0,1.3,4,1,1,M28,manchester
terraced,300000.0,1.5,3,2,2,BL7,manchester
terraced,190000.0,,2,1,1,M45,manchester
flat,105000.0,0.8,2,1,0,M5,salford
flat,170000.0,0.6,2,2,1,M5,salford
terraced,159950.0,,2,1,1,OL5,ashtonunderlyne
terraced,280000.0,0.7,3,1,1,M4,manchester
end terrace,425000.0,0.5,3,1,2,BL7,bolton
