location,link
manchester,https://www.zoopla.co.uk/for-sale/property/manchester/?is_auction=false&is_shared_ownership=false&page_size=25&view_type=list&q=manchester&radius=0&results_sort=lowest_price&search_source=facets
salford,https://www.zoopla.co.uk/for-sale/property/greater-manchester/salford/?is_auction=false&is_shared_ownership=false&page_size=25&q=salford&radius=0&results_sort=lowest_price&search_source=refine
bolton,https://www.zoopla.co.uk/for-sale/property/greater-manchester/bolton/?is_auction=false&is_shared_ownership=false&page_size=25&q=bolton&radius=0&results_sort=lowest_price&search_source=refine
wigan,https://www.zoopla.co.uk/for-sale/property/wigan/?is_auction=false&is_shared_ownership=false&page_size=25&q=wigan&radius=0&results_sort=lowest_price&search_source=refine
stockport,https://www.zoopla.co.uk/for-sale/property/stockport/?is_auction=false&is_shared_ownership=false&page_size=25&view_type=list&q=stockport&radius=0&results_sort=lowest_price&search_source=facets
bury,https://www.zoopla.co.uk/for-sale/property/greater-manchester/bury/?is_auction=false&is_shared_ownership=false&page_size=25&q=bury&radius=0&results_sort=lowest_price&search_source=refine
rochdale,https://www.zoopla.co.uk/for-sale/property/rochdale/?is_auction=false&is_shared_ownership=false&page_size=25&q=rochdale&radius=0&results_sort=lowest_price&search_source=refine
oldham,https://www.zoopla.co.uk/for-sale/property/oldham/?is_auction=false&is_shared_ownership=false&page_size=25&q=oldham&radius=0&results_sort=lowest_price&search_source=refine
tameside,https://www.zoopla.co.uk/for-sale/property/tameside/?is_auction=false&is_shared_ownership=false&page_size=25&q=tameside&radius=0&results_sort=lowest_price&search_source=refine
lancashire,https://www.zoopla.co.uk/for-sale/property/lancashire/?is_auction=false&is_shared_ownership=false&page_size=25&view_type=list&q=Lancashire&radius=0&results_sort=newest_listings&search_source=facets
merseyside,https://www.zoopla.co.uk/for-sale/property/merseyside/?is_auction=false&is_shared_ownership=false&page_size=25&q=Merseyside&radius=0&results_sort=newest_listings&search_source=refine
cheshire,https://www.zoopla.co.uk/for-sale/property/cheshire/?is_auction=false&is_shared_ownership=false&page_size=25&q=Cheshire&radius=0&results_sort=newest_listings&search_source=refine
cumbria,https://www.zoopla.co.uk/for-sale/property/cumbria/?is_auction=false&is_shared_ownership=false&page_size=25&q=Cumbria&radius=0&results_sort=newest_listings&search_source=refine
